source,documents,median_words,mean_tokens,median_tokens,mean_tokens_per_word,median_tokens_per_word,mean_tokens_per_char
complaints,2000,63.0,143.512,95.5,1.5253577528534241,1.5,0.2749454004117854
mc4,2000,303.0,884.593,540.5,1.9224232198296147,1.7553956834532374,0.29341414012248607
news,2000,244.0,485.7225,398.0,1.6534546278874602,1.619047619047619,0.2665847710457572
twitter,2000,12.0,33.114,29.0,2.5977882297210244,2.3333333333333335,0.3605272127589858
